partido,nome,uf,id_dep,tema,s_opiniao
dem,Alberto Fraga,DF,73579,Coincidência reeleição,S
dem,Alberto Fraga,DF,73579,Cota para mulheres legislativo,S
dem,Alberto Fraga,DF,73579,Distritao,S
dem,Alberto Fraga,DF,73579,Financiamento privado para partidos,S
dem,Alberto Fraga,DF,73579,Financiamento privado para partidos e candidatos,S
dem,Alberto Fraga,DF,73579,Maioridade 1,S
dem,Alberto Fraga,DF,73579,Maioridade 2,S
dem,Alberto Fraga,DF,73579,Pensão,N
dem,Alberto Fraga,DF,73579,Reeleição,S
dem,Alberto Fraga,DF,73579,Seguro Desemprego,N
dem,Alberto Fraga,DF,73579,Tempo Mandato,N
dem,Alberto Fraga,DF,73579,Terceirização,S
dem,Alberto Fraga,DF,73579,Transgênico,S
dem,Alberto Fraga,DF,73579,Voto Facultativo,N
dem,Alberto Fraga,DF,73579,Voto impresso,S
dem,Alexandre Leite,SP,160545,Coincidência reeleição,S
dem,Alexandre Leite,SP,160545,Cota para mulheres legislativo,S
dem,Alexandre Leite,SP,160545,Distritao,S
dem,Alexandre Leite,SP,160545,Financiamento privado para partidos,S
dem,Alexandre Leite,SP,160545,Financiamento privado para partidos e candidatos,S
dem,Alexandre Leite,SP,160545,Maioridade 1,S
dem,Alexandre Leite,SP,160545,Maioridade 2,S
dem,Alexandre Leite,SP,160545,Pensão,N
dem,Alexandre Leite,SP,160545,Reeleição,S
dem,Alexandre Leite,SP,160545,Seguro Desemprego,N
dem,Alexandre Leite,SP,160545,Tempo Mandato,S
dem,Alexandre Leite,SP,160545,Terceirização,S
dem,Alexandre Leite,SP,160545,Transgênico,S
dem,Alexandre Leite,SP,160545,Voto Facultativo,S
dem,Alexandre Leite,SP,160545,Voto impresso,S
dem,Carlos Melles,MG,74651,Coincidência reeleição,N
dem,Carlos Melles,MG,74651,Cota para mulheres legislativo,S
dem,Carlos Melles,MG,74651,Distritao,S
dem,Carlos Melles,MG,74651,Financiamento privado para partidos,S
dem,Carlos Melles,MG,74651,Financiamento privado para partidos e candidatos,S
